orf_id	Essential	orf_size	upstream_size	downstream_size	upstream_conservation	downstream_conservation	recombination	paralagous_count	phyletic_retention	promoter_count(Harbison_et_al)	DIP_degree	MW	PI	CAI	Codon_bias	ALA	ARG	ASN	ASP	CYS	GLN	GLU	GLY	HIS	ILE	LEU	LYS	MET	PHE	PRO	SER	THR	TRP	TYR	VAL	FOP_score	Gravy_score	aromaticity_score	num places loc	actin	ambiguous	bud	bud neck	cell periphery	cytoplasm	endosome	ER	ER to Golgi	Golgi	Golgi to ER	Golgi to Vacuole	lipid particle	microtubule	mitochondrion	nuclear periphery	nucleolus	nucleus	peroxisome	punctate composite	spindle pole	vacuolar membrane	vacuole
YAL001C	1	3573	1090	62	0	0.274193548	0.78	0	2	0	1	132107	10.16	0.121	-0.019	52	64	66	79	7	37	73	59	16	87	97	125	17	42	30	97	75	15	35	87	0.409	-0.511552	0.07931	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
YAL002W	0	3531	839	62	0.678188319	0.274193548	0.88	0	2	74	3	144961	5.74	0.134	0.055	50	41	75	69	26	53	80	45	30	102	161	79	15	59	47	129	67	14	50	82	0.446	-0.090346	0.096546	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL003W	1	987	742	839	0.665768194	0.632	1.14	0	4	68	3	22627	4.13	0.763	0.741	32	2	6	22	1	9	22	6	3	12	12	18	4	10	6	15	8	3	3	12	0.849	-0.416505	0.07767	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL005C	0	1929	742	1157	0.646	0.489	1.35	12	4	0	7	69767	4.82	0.709	0.76	60	26	32	49	3	23	51	50	5	40	48	53	8	30	27	40	45	1	10	41	0.858	-0.426013	0.063863	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL007C	0	648	1157	187	0.576	0.256684492	0.97	1	3	0	25	24063	4.83	0.235	0.23	16	6	14	12	2	5	13	8	1	22	22	14	3	11	4	19	16	2	9	16	0.557	0.147907	0.102326	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL009W	0	780	188	280	0.632978723	0.539285714	0.82	0	2	13	5	30113	10.84	0.111	0.03	16	24	10	12	2	11	13	11	5	21	19	17	3	17	7	25	14	6	8	18	0.424	-0.32085	0.119691	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
YAL011W	0	1878	215	106	0.195348837	0.273584906	1.02	0	1	11	3	72514	9.95	0.148	0.085	37	40	28	40	3	32	69	18	9	28	46	85	19	14	29	47	31	6	14	30	0.462	-1.10736	0.0544	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
YAL012W	0	1185	441	215	0.739229025	0.195348837	1.96	4	2	39	5	42542	6.52	0.42	0.548	41	13	22	21	0	15	21	28	14	24	40	22	3	14	17	29	28	2	10	30	0.728	-0.144416	0.06599	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL013W	0	1089	250	441	0.552	0.739229025	1.99	0	1	15	2	48671	4.47	0.107	0.082	25	21	24	34	8	23	55	10	12	21	37	28	9	8	19	28	25	2	17	14	0.465	-0.995	0.064286	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL014C	0	768	250	149	0.552	0	1.32	0	2	0	2	29048	4.49	0.1	0.034	6	12	20	23	2	22	17	7	4	12	42	13	4	5	11	22	10	0	5	18	0.418	-0.507451	0.039216	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
